,league,earnings,players,tournaments,events
0,4PL All or Nothing,11022.2,30,9,2
1,4PL Close Combat Cup,25699.63,92,99,1
2,4PL Play4Dota2,8753.3,14,18,1
3,4PL Play4Fame,21068.51,91,39,1
4,4PL Team Action Cup,3524.14,28,38,1
5,Call of Duty Challengers,364550.0,127,13,10
6,Call of Duty League,5853000.0,76,19,3
7,COD World League,11107484.32,411,61,32
8,CWL Championship,9025000.0,279,6,6
9,Afreeca PUBG League,384361.3,177,11,3
10,Afreeca Starleague,502652.4,66,9,9
11,Afreeca Warcraft III League,92919.25,22,10,10
12,Afreeca World Invitational,12516.01,81,57,1
13,HotS League: REVIVAL,63028.64,27,4,4
14,Alibaba Invitational,1000.0,4,1,1
15,World Electronic Sports Games,12902674.21,2207,301,31
16,ASUS Cup,1402362.52,1215,204,46
17,ASUS ROG - Paris Games Week,91759.09,102,5,5
18,BTS Dota,2457794.0,395,34,20
19,BTS Overwatch Cup,10000.0,18,1,1
20,cs_summit,949500.0,198,7,6
21,Rocket League Summit,50000.0,24,4,1
22,Smash Summit,564270.54,73,36,11
23,Blizzard Worldwide Invitational,201000.0,25,8,4
24,BlizzCon,13039850.0,902,63,28
25,Copa América,437825.0,211,64,7
26,Hearthstone Championship Tour,5716291.74,623,55,33
27,Hearthstone Global Games,812600.0,336,3,3
28,Hearthstone GrandMasters,1113250.0,58,16,4
29,Hearthstone Masters Tour,3500000.0,416,7,7
30,Hearthstone Wild Open,78000.0,23,3,3
31,Heroes Global Championship,10991982.95,491,62,14
32,Korea StarCraft League,283040.0,32,4,4
33,Master Monthly Cup,15000.0,10,3,3
34,Overwatch Contenders,6649121.0,1514,61,13
35,Overwatch League,8725000.0,248,12,3
36,Overwatch Premier Series,843842.58,274,6,3
37,Overwatch World Cup,1341000.0,523,13,7
38,Road to Blizzcon,1008409.67,451,26,7
39,StarCraft II World Championship Series,10072574.42,669,174,96
40,WoW Arena Cup,262000.0,102,31,3
41,Capcom Cup,1290000.0,47,5,5
42,Capcom Pro Tour,1239000.65,134,68,3
43,DreamHack,23467885.7,4639,578,120
44,DreamHack Dota 2 Weekly,9326.55,188,24,1
45,Nordic Championship,210598.95,179,14,7
46,Swedish E-Sports Championships,292698.54,154,28,13
47,FIFA eNations Cup,100000.0,39,1,1
48,FIFA eWorld Cup,1150000.0,96,5,5
49,FIFA Global Series,1002000.0,200,4,3
50,FIFA ONLINE Champions Cup,2044112.5,139,7,7
51,FIFA Ultimate Team Championship,3160000.0,326,33,19
52,Madden NFL Championship Series,1050000.0,42,5,5
53,ESL African Championship,158547.0,70,8,2
54,ESL Belgian Championship,44700.02,76,4,2
55,ESL Black Monster Cup,133803.94,151,9,5
56,ESL Brasil Premier League,82041.65,220,15,11
57,ESL Bulgarian Championships,3819.42,11,3,1
58,ESL Challenger League R6S,174000.0,254,9,3
59,ESL Clash Royale Mobcrush,54.86,1,1,1
60,ESL Counter-Strike Champions League,16534.29,45,3,1
61,ESL Dutch Championship,43758.55,82,6,3
62,ESL Euro Series,47406.6,91,9,5
63,ESL European Nations Championship,354958.04,274,25,7
64,ESL Expo Barcelona,83490.0,40,1,1
65,ESL Gears of War Pro League,120000.0,27,2,2
66,ESL Go4Artifact,2911.99,31,31,3
67,ESL Go4Battlerite,7359.17,26,32,1
68,ESL Go4BF4,26726.15,64,124,1
69,ESL Go4CoD:AW,8432.82,119,76,2
70,ESL Go4CrossFire,91724.94,231,217,1
71,ESL Go4CS:GO,100672.59,1312,489,2
72,ESL Go4Dota2,24769.06,260,60,1
73,ESL Go4Evolve,5454.95,77,29,1
74,ESL Go4FIFA,25391.38,119,312,7
75,ESL Go4GuildWars2,26005.5,61,50,2
76,ESL Go4Halo,600.0,8,3,1
77,ESL Go4Hearthstone,4166.1,49,32,1
78,ESL Go4Heroes,21998.02,258,143,2
79,ESL Go4LoL,330431.5,1841,781,7
80,ESL Go4Overwatch,44356.58,472,178,5
81,ESL Go4QC,23600.0,119,40,4
82,ESL Go4R6,1320.55,41,13,3
83,ESL Go4RocketLeague,35984.58,231,176,3
84,ESL Go4S.K.I.L.L.,3977.12,54,14,1
85,ESL Go4SC2,140506.47,174,530,1
86,ESL Go4ShardsofWar,1029.21,20,1,1
87,ESL Go4Smite,2560.18,41,22,1
88,ESL Go4TrackMania,512.77,2,3,1
89,ESL Go4WC3,6658.88,17,26,1
90,ESL Go4WoT,3018.5,157,8,2
91,ESL Go4WoW,1448.7,17,13,1
92,ESL Hearthstone Legendary Series,97400.0,51,8,4
93,ESL Heroes Major League,36800.0,75,6,3
94,ESL Heroes of the Storm Championship,500000.0,115,5,5
95,ESL Indonesia Championship,70000.0,47,2,2
96,ESL Intel Extreme Masters,12535044.35,1847,158,75
97,ESL Italia Championship,60353.09,113,12,7
98,ESL LA League,10238.0,39,2,2
99,ESL Major League,34818.61,209,10,10
100,ESL Major Series,481962.55,705,108,18
101,ESL MKX Pro League,367500.0,13,4,4
102,ESL Mobcrush Vainglory,860.55,23,10,1
103,ESL Mobile Open,220332.36,117,4,4
104,ESL Nationals Česko a Slovensko,22255.25,70,5,3
105,ESL One Series,12569241.23,911,61,41
106,ESL Open Cup,25700.0,60,113,2
107,ESL Overwatch King of the Hill,7000.0,18,7,1
108,ESL Premium Only CS:GO Cup,2265.2,36,13,2
109,ESL Premium Series,1276.5,12,21,1
110,ESL Pro European Championship,80965.5,20,1,1
111,ESL Pro League CS:GO,9044890.3,629,48,14
112,ESL Pro League R6S,2781000.0,335,29,12
113,ESL Pro Series America / National EPS,146500.0,172,11,11
114,ESL Pro Series ANZ,192079.29,237,31,17
115,ESL Pro Series Benelux / ESL Benelux Championship,101208.63,233,23,11
116,ESL Pro Series CIS,48097.33,10,3,2
117,ESL Pro Series Denmark,16590.85,38,3,3
118,ESL Pro Series France / ESL Le Championnat National,333862.0,397,53,26
119,ESL Pro Series Germany / ESL Meisterschaft,3392931.64,1932,400,92
120,ESL Pro Series India,232023.24,278,30,6
121,ESL Pro Series Poland / ESL Mistrzostwa Polski,464566.38,409,46,23
122,ESL Pro Series Scandinavia / ESL Pro Series Nordic,66616.4,70,7,4
123,ESL Pro Series Spain / ESL Masters España,242045.1,280,22,21
124,ESL Pro Series UK / ESL UK/IRE Premiership,422565.4,539,48,21
125,ESL S.K.I.L.L. Pro League,87571.83,49,2,2
126,ESL SC2 Americas Open,6050.0,45,119,1
127,ESL Sennheiser Cup,9507.32,28,34,2
128,ESL South East Europe Championship,95256.43,254,24,11
129,ESL Swiss League,20413.0,32,2,2
130,ESL Thailand Championship,56752.21,35,3,3
131,ESL Türkiye Şampiyonası,60384.29,42,6,6
132,ESL Vietnam Championship,24000.0,13,2,2
133,ESL Viking Cup,3068.86,18,31,1
134,ESL VIP Adria League,25520.21,50,3,3
135,ESL WC3L Series,149808.34,79,12,12
136,ESL Women’s Tournament,7539.2,10,1,1
137,GameGod ESL India,626.58,29,2,2
138,Intel Challenge Katowice,90000.0,45,3,3
139,Intel Grand Slam,2000000.0,10,2,2
140,National ESL Iron Lady,1575.0,12,8,2
141,Six Invitational,5700000.0,183,5,4
142,Six Major,850000.0,124,2,2
143,UK Challenge Series,3523.47,57,14,2
144,ZEN League,60850.37,59,6,1
145,Adrenaline Cyber League,500925.44,113,13,4
146,Dota 2 Champions League,517914.0,169,13,13
147,Epic Dota 2 Online Leagues,192000.0,94,3,3
148,EPICENTER,5065000.0,332,14,7
149,MegaFon Dota 2 Events,333144.0,72,4,3
150,OMEGA League,629500.0,245,5,3
151,Fortnite Cash Cup,4045475.0,1499,126,8
152,Fortnite Series,40556175.0,2536,160,11
153,Fortnite World Cup,46252500.0,1132,77,3
154,ESEA,3027728.05,6284,363,50
155,ESEA Rank G,471000.0,343,157,2
156,ESEA Rank S,1701540.0,471,358,2
157,Esports Championship Series,6195000.0,280,40,8
158,FACEIT CS:GO,1584254.75,304,25,13
159,FACEIT Pro League,2278055.0,551,268,2
160,FACEIT Pro Series: Apex Legends,50000.0,31,9,1
161,FACEIT PUBG,438800.0,92,2,1
162,FACEIT Quake Live Sunday Cup,2125.0,13,17,1
163,FACEIT Team Fortress 2,2500.0,24,1,1
164,99Damage Arena,75000.0,146,19,1
165,99damage Liga,250319.81,177,18,14
166,99Damage Masters,80000.0,58,4,4
167,joinDOTA Bigpoint Battle,29222.0,65,11,1
168,joinDOTA League,239099.05,317,31,14
169,joinDOTA Masters,87377.03,182,31,5
170,Summoner's Inn League,43705.81,92,7,4
171,Electronic Sports World Cup,3025297.24,1058,125,29
172,AOV Star League,135531.51,12,2,2
173,Arena of Glory,282670.44,52,4,4
174,Elite Challenger Series,130919.86,79,8,8
175,Garena Challenger Series,340720.68,36,3,3
176,Garena Premier League,1038000.0,250,9,9
177,Garena Star League,85157.22,15,2,2
178,HoN Tour,1961705.8,480,157,16
179,League SEA Tour,391000.0,78,7,4
180,LoL Garuda Series,120846.29,21,9,9
181,LoL Master Series,1052857.0,205,11,10
182,LoL Nova League,232113.07,93,3,3
183,Pacific Championship Series,160000.0,79,2,2
184,Pro Gaming Series,23460.66,54,9,9
185,RoV Pro League,1373797.54,85,6,6
186,Thailand Pro League,133040.4,49,12,12
187,The Legends Circuit,350751.29,135,25,13
188,Vietnam Championship Series,621869.68,201,17,17
189,Gfinity European Pro League,34351.53,26,2,2
190,Gfinity Offline Events,2421573.64,701,61,42
191,Gfinity Online,157595.17,876,449,14
192,GIGA Grandslam,26449.57,10,8,5
193,Global StarCraft II League,5753782.46,307,80,55
194,Global StarCraft II Team League,417859.63,170,10,10
195,GOMTV Classic,324435.15,34,8,8
196,Paladins Mid Season Invitational,110000.0,34,1,1
197,Paladins Premier League,200000.0,83,2,2
198,Paladins World Championship,470000.0,74,2,2
199,SMITE Pro League,1924706.95,362,35,17
200,SMITE World Championship,5940168.6,197,7,5
201,iBUYPOWER Invitational,228000.0,115,12,1
202,iBUYPOWER Masters,400000.0,87,3,3
203,Quake Pro League,265000.0,27,5,1
204,QuakeCon,2395900.0,268,62,21
205,The Gathering,234693.97,212,62,15
206,Kinguin for Charity,25000.0,17,5,5
207,Kinguin Pro League,23200.0,20,3,1
208,PES League,1057950.58,53,12,7
209,MLG GameBattles,381585.0,280,207,14
210,MLG Minor Championship,50000.0,20,1,1
211,MLG Pro Circuit,9523437.01,1335,324,93
212,MLG Pro League,591307.0,119,7,7
213,MLG Underground Smash Series,9840.0,15,4,2
214,Dota2 Professional League,1774508.9,233,12,8
215,Mars Dota 2 League,4401402.33,239,9,9
216,MBC WC3 Prime League,78006.9,12,4,4
217,MBCGame StarCraft League,1666468.42,135,23,23
218,MBCGame Warcraft 3 World War,103600.0,20,4,1
219,Gold Series Hearthstone,934348.36,190,18,17
220,Gold Series Heroes League,2828768.26,208,20,20
221,Gold Series WarCraft 3,553560.23,45,18,14
222,Golden Professional Championship - Online Events,12136.42,23,17,2
223,Golden Professional League,430380.85,105,25,25
224,Netease E-sports League,86947.53,65,3,3
225,NetEase Esports X Tournament,261085.61,137,15,7
226,Nexus Cup,124400.52,169,11,11
227,Counter-Strike Online World Championship,160000.0,38,4,4
228,Korea Dota League,357839.72,108,8,4
229,Nexon Dota 2 Events,373039.02,85,8,5
230,Battlegrounds Smash Cup,109880.0,42,2,2
231,Korea King Pro League,685500.29,80,3,3
232,National PUBG League,940000.0,90,6,6
233,National PUBG League Contenders,63000.0,59,3,1
234,OnGameNet Hearthstone,344196.0,105,11,11
235,OnGameNet Heroes Super League,517600.0,64,3,3
236,OnGameNet KartRider League,186072.0,32,12,7
237,OnGameNet LoL,1917431.52,256,12,12
238,OnGameNet Overwatch APEX,853109.65,376,10,10
239,OnGameNet StarLeague,2197412.09,223,44,37
240,OnGameNet Vainglory,237986.0,94,4,4
241,OSL Futures,70947.72,47,2,2
242,PUBG Korea Contenders,125100.0,15,3,1
243,PUBG Super League Europe,68940.0,24,1,1
244,PUBG Survival Series,317637.0,131,6,3
245,CS:GO Asia Championships,300000.0,40,1,1
246,CS:GO Asia Summit,60000.0,20,1,1
247,Dota 2 Asia Championships,4674208.0,174,4,3
248,Rocket League Championship Series,5705947.2,247,51,13
249,Rocket League Rival Series,567000.0,188,12,6
250,PUBG Asia Invitational,760546.0,93,4,2
251,PUBG Continental Series,1631300.0,417,12,3
252,PUBG Global Championship,4602576.2,282,6,2
253,PUBG Global Invitational,2586241.22,384,10,2
254,PUBG Korea League,727226.64,95,12,2
255,PUBG Master League,193996.43,87,3,1
256,PUBG Mobile Club Open,1628698.07,489,13,3
257,PUBG Nations Cup,500000.0,64,1,1
258,Red Bull Battlegrounds,390640.0,143,26,16
259,Red Bull Flick,36602.8,32,5,1
260,Red Bull pLANet One,9121.83,10,5,1
261,Red Bull Xel'Naga Finest,1640.0,9,3,1
262,BLAST Dota 2 Events,110001.0,30,1,1
263,BLAST Premier,1375000.0,127,5,1
264,BLAST Pro Series,3040000.0,107,22,11
265,Brazilian Challenger Circuit,83665.72,141,9,9
266,Campeonato Brasileiro de LoL,531166.05,170,12,12
267,Clan Battle,11817.0,21,5,1
268,European Masters,1031091.75,285,6,6
269,International Invitational Tournament,53329.94,50,4,4
270,La Ligue Française,99780.0,59,3,3
271,Latin America Cup,481454.85,114,32,8
272,League Championship Korea,3112573.21,223,12,12
273,League European Championship,903320.0,61,4,4
274,Liga Latinoamérica,202013.74,45,4,4
275,LoL Academy League,150000.0,73,6,6
276,LoL Challenger Series,1147205.68,359,34,8
277,LoL Championship Series,4134626.0,212,28,16
278,LoL Continental League,830546.46,121,15,15
279,LoL World Championship,27417645.79,544,13,10
280,Mid-Season Invitational,4560520.01,225,6,6
281,Oceanic Pro League,194368.8,55,8,8
282,Open Tour France / Challenge France,160527.38,92,11,5
283,Premier Tour,456870.76,100,11,6
284,Rift Rivals,819500.0,325,9,3
285,Turkish Champions League,221854.43,89,7,7
286,Turkish Promotion League / Challenger Series,72299.72,126,6,6
287,SPOTV KartRider League,381294.35,59,8,6
